snapshot_date,league_id,team_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-05-29,35457,3,Ender Wiggins,,,,,,,1,GP,552.0,
2026-05-29,35457,3,Ender Wiggins,,,,,,,60,SVH,,
2026-05-29,35457,3,Ender Wiggins,,,,,,,7,R,317.0,13.0
2026-05-29,35457,3,Ender Wiggins,,,,,,,12,HR,92.0,13.0
2026-05-29,35457,3,Ender Wiggins,,,,,,,13,RBI,278.0,12.0
2026-05-29,35457,3,Ender Wiggins,,,,,,,16,SB,67.0,14.0
2026-05-29,35457,3,Ender Wiggins,,,,,,,3,AVG,0.254,13.0
2026-05-29,35457,3,Ender Wiggins,,,,,,,50,IP2,361.2,
2026-05-29,35457,3,Ender Wiggins,,,,,,,28,W,27.0,10.0
2026-05-29,35457,3,Ender Wiggins,,,,,,,42,K,346.0,4.0
2026-05-29,35457,3,Ender Wiggins,,,,,,,26,ERA,2.94,14.0
2026-05-29,35457,3,Ender Wiggins,,,,,,,27,WHIP,1.07,14.0
2026-05-29,35457,3,Ender Wiggins,,,,,,,89,SV2,38.0,10.5
2026-05-29,35457,1,The Bear Jew,,,,,,,1,GP,557.0,
2026-05-29,35457,1,The Bear Jew,,,,,,,60,SVH,,
2026-05-29,35457,1,The Bear Jew,,,,,,,7,R,292.0,10.0
2026-05-29,35457,1,The Bear Jew,,,,,,,12,HR,77.0,10.0
2026-05-29,35457,1,The Bear Jew,,,,,,,13,RBI,274.0,9.0
2026-05-29,35457,1,The Bear Jew,,,,,,,16,SB,34.0,3.0
2026-05-29,35457,1,The Bear Jew,,,,,,,3,AVG,0.252,10.0
2026-05-29,35457,1,The Bear Jew,,,,,,,50,IP2,367.1,
2026-05-29,35457,1,The Bear Jew,,,,,,,28,W,30.0,14.0
2026-05-29,35457,1,The Bear Jew,,,,,,,42,K,397.0,9.0
2026-05-29,35457,1,The Bear Jew,,,,,,,26,ERA,3.11,12.0
2026-05-29,35457,1,The Bear Jew,,,,,,,27,WHIP,1.14,11.0
2026-05-29,35457,1,The Bear Jew,,,,,,,89,SV2,44.0,14.0
2026-05-29,35457,5,Salad Dodgers,,,,,,,1,GP,557.0,
2026-05-29,35457,5,Salad Dodgers,,,,,,,60,SVH,,
2026-05-29,35457,5,Salad Dodgers,,,,,,,7,R,320.0,14.0
2026-05-29,35457,5,Salad Dodgers,,,,,,,12,HR,72.0,9.0
2026-05-29,35457,5,Salad Dodgers,,,,,,,13,RBI,276.0,10.5
2026-05-29,35457,5,Salad Dodgers,,,,,,,16,SB,52.0,8.0
2026-05-29,35457,5,Salad Dodgers,,,,,,,3,AVG,0.25,7.0
2026-05-29,35457,5,Salad Dodgers,,,,,,,50,IP2,440.0,
2026-05-29,35457,5,Salad Dodgers,,,,,,,28,W,28.0,12.0
2026-05-29,35457,5,Salad Dodgers,,,,,,,42,K,411.0,12.0
2026-05-29,35457,5,Salad Dodgers,,,,,,,26,ERA,4.28,3.0
2026-05-29,35457,5,Salad Dodgers,,,,,,,27,WHIP,1.3,2.0
2026-05-29,35457,5,Salad Dodgers,,,,,,,89,SV2,36.0,8.0
2026-05-29,35457,4,For Me to Poop On,,,,,,,1,GP,562.0,
2026-05-29,35457,4,For Me to Poop On,,,,,,,60,SVH,,
2026-05-29,35457,4,For Me to Poop On,,,,,,,7,R,268.0,6.0
2026-05-29,35457,4,For Me to Poop On,,,,,,,12,HR,63.0,3.0
2026-05-29,35457,4,For Me to Poop On,,,,,,,13,RBI,265.0,8.0
2026-05-29,35457,4,For Me to Poop On,,,,,,,16,SB,53.0,10.0
2026-05-29,35457,4,For Me to Poop On,,,,,,,3,AVG,0.232,1.0
2026-05-29,35457,4,For Me to Poop On,,,,,,,50,IP2,365.2,
2026-05-29,35457,4,For Me to Poop On,,,,,,,28,W,29.0,13.0
2026-05-29,35457,4,For Me to Poop On,,,,,,,42,K,404.0,10.0
2026-05-29,35457,4,For Me to Poop On,,,,,,,26,ERA,3.18,11.0
2026-05-29,35457,4,For Me to Poop On,,,,,,,27,WHIP,1.12,12.0
2026-05-29,35457,4,For Me to Poop On,,,,,,,89,SV2,38.0,10.5
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,1,GP,558.0,
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,60,SVH,,
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,7,R,263.0,4.5
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,12,HR,71.0,8.0
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,13,RBI,253.0,7.0
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,16,SB,29.0,1.5
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,3,AVG,0.25,6.0
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,50,IP2,411.1,
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,28,W,27.0,10.0
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,42,K,440.0,14.0
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,26,ERA,3.0,13.0
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,27,WHIP,1.09,13.0
2026-05-29,35457,14,You Give Suck a Bad Name,,,,,,,89,SV2,32.0,6.5
2026-05-29,35457,2,Avners iballers,,,,,,,1,GP,562.0,
2026-05-29,35457,2,Avners iballers,,,,,,,60,SVH,,
2026-05-29,35457,2,Avners iballers,,,,,,,7,R,286.0,8.0
2026-05-29,35457,2,Avners iballers,,,,,,,12,HR,86.0,11.0
2026-05-29,35457,2,Avners iballers,,,,,,,13,RBI,294.0,14.0
2026-05-29,35457,2,Avners iballers,,,,,,,16,SB,54.0,11.0
2026-05-29,35457,2,Avners iballers,,,,,,,3,AVG,0.259,14.0
2026-05-29,35457,2,Avners iballers,,,,,,,50,IP2,365.0,
2026-05-29,35457,2,Avners iballers,,,,,,,28,W,23.0,5.5
2026-05-29,35457,2,Avners iballers,,,,,,,42,K,379.0,8.0
2026-05-29,35457,2,Avners iballers,,,,,,,26,ERA,4.39,2.0
2026-05-29,35457,2,Avners iballers,,,,,,,27,WHIP,1.27,5.0
2026-05-29,35457,2,Avners iballers,,,,,,,89,SV2,25.0,4.0
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,1,GP,539.0,
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,60,SVH,,
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,7,R,314.0,12.0
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,12,HR,87.0,12.0
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,13,RBI,251.0,4.5
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,16,SB,52.0,8.0
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,3,AVG,0.24,3.0
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,50,IP2,446.1,
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,28,W,25.0,8.0
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,42,K,427.0,13.0
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,26,ERA,4.11,4.0
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,27,WHIP,1.27,3.0
2026-05-29,35457,10,Rebuilding Year v16.1,,,,,,,89,SV2,37.0,9.0
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,1,GP,546.0,
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,60,SVH,,
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,7,R,308.0,11.0
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,12,HR,99.0,14.0
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,13,RBI,283.0,13.0
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,16,SB,35.0,4.0
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,3,AVG,0.254,12.0
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,50,IP2,319.0,
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,28,W,24.0,7.0
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,42,K,360.0,5.5
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,26,ERA,4.43,1.0
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,27,WHIP,1.37,1.0
2026-05-29,35457,8,Nish's Rec League Team,,,,,,,89,SV2,30.0,5.0
2026-05-29,35457,12,VerRosenbergs,,,,,,,1,GP,552.0,
2026-05-29,35457,12,VerRosenbergs,,,,,,,60,SVH,,
2026-05-29,35457,12,VerRosenbergs,,,,,,,7,R,263.0,4.5
