snapshot_date,league_id,team_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-06-04,35457,3,Ender Wiggins,,,,,,,1,GP,607.0,
2026-06-04,35457,3,Ender Wiggins,,,,,,,60,SVH,,
2026-06-04,35457,3,Ender Wiggins,,,,,,,7,R,358.0,14.0
2026-06-04,35457,3,Ender Wiggins,,,,,,,12,HR,101.0,13.0
2026-06-04,35457,3,Ender Wiggins,,,,,,,13,RBI,316.0,13.0
2026-06-04,35457,3,Ender Wiggins,,,,,,,16,SB,74.0,14.0
2026-06-04,35457,3,Ender Wiggins,,,,,,,3,AVG,0.258,13.0
2026-06-04,35457,3,Ender Wiggins,,,,,,,50,IP2,399.2,
2026-06-04,35457,3,Ender Wiggins,,,,,,,28,W,31.0,12.5
2026-06-04,35457,3,Ender Wiggins,,,,,,,42,K,382.0,4.0
2026-06-04,35457,3,Ender Wiggins,,,,,,,26,ERA,2.97,13.0
2026-06-04,35457,3,Ender Wiggins,,,,,,,27,WHIP,1.06,14.0
2026-06-04,35457,3,Ender Wiggins,,,,,,,89,SV2,43.0,12.0
2026-06-04,35457,1,The Bear Jew,,,,,,,1,GP,613.0,
2026-06-04,35457,1,The Bear Jew,,,,,,,60,SVH,,
2026-06-04,35457,1,The Bear Jew,,,,,,,7,R,320.0,10.0
2026-06-04,35457,1,The Bear Jew,,,,,,,12,HR,88.0,10.0
2026-06-04,35457,1,The Bear Jew,,,,,,,13,RBI,299.0,9.0
2026-06-04,35457,1,The Bear Jew,,,,,,,16,SB,37.0,3.0
2026-06-04,35457,1,The Bear Jew,,,,,,,3,AVG,0.249,7.0
2026-06-04,35457,1,The Bear Jew,,,,,,,50,IP2,393.0,
2026-06-04,35457,1,The Bear Jew,,,,,,,28,W,30.0,10.5
2026-06-04,35457,1,The Bear Jew,,,,,,,42,K,425.0,9.0
2026-06-04,35457,1,The Bear Jew,,,,,,,26,ERA,3.3,11.0
2026-06-04,35457,1,The Bear Jew,,,,,,,27,WHIP,1.16,11.0
2026-06-04,35457,1,The Bear Jew,,,,,,,89,SV2,47.0,14.0
2026-06-04,35457,2,Avners iballers,,,,,,,1,GP,615.0,
2026-06-04,35457,2,Avners iballers,,,,,,,60,SVH,,
2026-06-04,35457,2,Avners iballers,,,,,,,7,R,318.0,9.0
2026-06-04,35457,2,Avners iballers,,,,,,,12,HR,94.0,11.5
2026-06-04,35457,2,Avners iballers,,,,,,,13,RBI,321.0,14.0
2026-06-04,35457,2,Avners iballers,,,,,,,16,SB,57.0,10.5
2026-06-04,35457,2,Avners iballers,,,,,,,3,AVG,0.264,14.0
2026-06-04,35457,2,Avners iballers,,,,,,,50,IP2,402.1,
2026-06-04,35457,2,Avners iballers,,,,,,,28,W,27.0,6.5
2026-06-04,35457,2,Avners iballers,,,,,,,42,K,420.0,8.0
2026-06-04,35457,2,Avners iballers,,,,,,,26,ERA,4.27,4.0
2026-06-04,35457,2,Avners iballers,,,,,,,27,WHIP,1.27,6.0
2026-06-04,35457,2,Avners iballers,,,,,,,89,SV2,27.0,4.0
2026-06-04,35457,4,For Me to Poop On,,,,,,,1,GP,616.0,
2026-06-04,35457,4,For Me to Poop On,,,,,,,60,SVH,,
2026-06-04,35457,4,For Me to Poop On,,,,,,,7,R,298.0,5.0
2026-06-04,35457,4,For Me to Poop On,,,,,,,12,HR,68.0,2.0
2026-06-04,35457,4,For Me to Poop On,,,,,,,13,RBI,291.0,8.0
2026-06-04,35457,4,For Me to Poop On,,,,,,,16,SB,57.0,10.5
2026-06-04,35457,4,For Me to Poop On,,,,,,,3,AVG,0.236,1.0
2026-06-04,35457,4,For Me to Poop On,,,,,,,50,IP2,407.2,
2026-06-04,35457,4,For Me to Poop On,,,,,,,28,W,32.0,14.0
2026-06-04,35457,4,For Me to Poop On,,,,,,,42,K,450.0,11.0
2026-06-04,35457,4,For Me to Poop On,,,,,,,26,ERA,3.09,12.0
2026-06-04,35457,4,For Me to Poop On,,,,,,,27,WHIP,1.12,12.0
2026-06-04,35457,4,For Me to Poop On,,,,,,,89,SV2,43.0,12.0
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,1,GP,595.0,
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,60,SVH,,
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,7,R,357.0,13.0
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,12,HR,94.0,11.5
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,13,RBI,279.0,5.0
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,16,SB,54.0,7.0
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,3,AVG,0.245,5.0
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,50,IP2,483.0,
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,28,W,29.0,8.5
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,42,K,466.0,13.0
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,26,ERA,4.04,6.0
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,27,WHIP,1.26,7.0
2026-06-04,35457,10,Rebuilding Year v16.1,,,,,,,89,SV2,42.0,9.5
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,1,GP,611.0,
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,60,SVH,,
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,7,R,286.0,3.0
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,12,HR,82.0,9.0
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,13,RBI,280.0,6.0
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,16,SB,29.0,1.0
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,3,AVG,0.249,6.0
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,50,IP2,448.2,
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,28,W,31.0,12.5
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,42,K,482.0,14.0
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,26,ERA,2.97,14.0
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,27,WHIP,1.09,13.0
2026-06-04,35457,14,You Give Suck a Bad Name,,,,,,,89,SV2,38.0,7.0
2026-06-04,35457,5,Salad Dodgers,,,,,,,1,GP,609.0,
2026-06-04,35457,5,Salad Dodgers,,,,,,,60,SVH,,
2026-06-04,35457,5,Salad Dodgers,,,,,,,7,R,343.0,12.0
2026-06-04,35457,5,Salad Dodgers,,,,,,,12,HR,80.0,8.0
2026-06-04,35457,5,Salad Dodgers,,,,,,,13,RBI,309.0,11.0
2026-06-04,35457,5,Salad Dodgers,,,,,,,16,SB,54.0,7.0
2026-06-04,35457,5,Salad Dodgers,,,,,,,3,AVG,0.249,8.0
2026-06-04,35457,5,Salad Dodgers,,,,,,,50,IP2,469.2,
2026-06-04,35457,5,Salad Dodgers,,,,,,,28,W,29.0,8.5
2026-06-04,35457,5,Salad Dodgers,,,,,,,42,K,438.0,10.0
2026-06-04,35457,5,Salad Dodgers,,,,,,,26,ERA,4.29,3.0
2026-06-04,35457,5,Salad Dodgers,,,,,,,27,WHIP,1.28,4.0
2026-06-04,35457,5,Salad Dodgers,,,,,,,89,SV2,41.0,8.0
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,1,GP,601.0,
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,60,SVH,,
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,7,R,331.0,11.0
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,12,HR,108.0,14.0
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,13,RBI,310.0,12.0
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,16,SB,38.0,4.0
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,3,AVG,0.256,12.0
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,50,IP2,366.0,
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,28,W,27.0,6.5
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,42,K,415.0,7.0
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,26,ERA,4.35,1.0
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,27,WHIP,1.36,1.0
2026-06-04,35457,8,Nish's Rec League Team,,,,,,,89,SV2,33.0,5.0
2026-06-04,35457,12,VerRosenbergs,,,,,,,1,GP,609.0,
2026-06-04,35457,12,VerRosenbergs,,,,,,,60,SVH,,
2026-06-04,35457,12,VerRosenbergs,,,,,,,7,R,302.0,7.0
2026-06-04,35457,12,VerRosenbergs,,,,,,,12,HR,76.0,6.0
2026-06-04,35457,12,VerRosenbergs,,,,,,,13,RBI,308.0,10.0
2026-06-04,35457,12,VerRosenbergs,,,,,,,16,SB,55.0,9.0
2026-06-04,35457,12,VerRosenbergs,,,,,,,3,AVG,0.251,9.0
2026-06-04,35457,12,VerRosenbergs,,,,,,,50,IP2,372.2,
2026-06-04,35457,12,VerRosenbergs,,,,,,,28,W,18.0,1.5
2026-06-04,35457,12,VerRosenbergs,,,,,,,42,K,375.0,3.0
2026-06-04,35457,12,VerRosenbergs,,,,,,,26,ERA,3.65,8.0
2026-06-04,35457,12,VerRosenbergs,,,,,,,27,WHIP,1.19,8.0
2026-06-04,35457,12,VerRosenbergs,,,,,,,89,SV2,42.0,9.5
2026-06-04,35457,11,Rolo Tomasi,,,,,,,1,GP,610.0,
2026-06-04,35457,11,Rolo Tomasi,,,,,,,60,SVH,,
