snapshot_date,league_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-03-28,35457,Miracle Max's MLTs,,,,,,,1,GP,13.0,
2026-03-28,35457,Miracle Max's MLTs,,,,,,,60,SVH,,
2026-03-28,35457,Miracle Max's MLTs,,,,,,,7,R,9.0,11.5
2026-03-28,35457,Miracle Max's MLTs,,,,,,,12,HR,4.0,12.0
2026-03-28,35457,Miracle Max's MLTs,,,,,,,13,RBI,11.0,13.0
2026-03-28,35457,Miracle Max's MLTs,,,,,,,16,SB,2.0,11.0
2026-03-28,35457,Miracle Max's MLTs,,,,,,,3,AVG,0.348,13.0
2026-03-28,35457,Miracle Max's MLTs,,,,,,,50,IP2,12.0,
2026-03-28,35457,Miracle Max's MLTs,,,,,,,28,W,0.0,3.5
2026-03-28,35457,Miracle Max's MLTs,,,,,,,42,K,11.0,7.0
2026-03-28,35457,Miracle Max's MLTs,,,,,,,26,ERA,3.75,6.0
2026-03-28,35457,Miracle Max's MLTs,,,,,,,27,WHIP,1.08,9.0
2026-03-28,35457,Miracle Max's MLTs,,,,,,,89,SV2,2.0,13.0
2026-03-28,35457,The Bear Jew,,,,,,,1,GP,15.0,
2026-03-28,35457,The Bear Jew,,,,,,,60,SVH,,
2026-03-28,35457,The Bear Jew,,,,,,,7,R,8.0,9.5
2026-03-28,35457,The Bear Jew,,,,,,,12,HR,4.0,12.0
2026-03-28,35457,The Bear Jew,,,,,,,13,RBI,14.0,14.0
2026-03-28,35457,The Bear Jew,,,,,,,16,SB,0.0,2.5
2026-03-28,35457,The Bear Jew,,,,,,,3,AVG,0.228,6.0
2026-03-28,35457,The Bear Jew,,,,,,,50,IP2,19.2,
2026-03-28,35457,The Bear Jew,,,,,,,28,W,2.0,12.0
2026-03-28,35457,The Bear Jew,,,,,,,42,K,24.0,11.0
2026-03-28,35457,The Bear Jew,,,,,,,26,ERA,2.29,12.0
2026-03-28,35457,The Bear Jew,,,,,,,27,WHIP,1.12,6.0
2026-03-28,35457,The Bear Jew,,,,,,,89,SV2,1.0,8.0
2026-03-28,35457,For Me to Poop On,,,,,,,1,GP,16.0,
2026-03-28,35457,For Me to Poop On,,,,,,,60,SVH,,
2026-03-28,35457,For Me to Poop On,,,,,,,7,R,7.0,7.0
2026-03-28,35457,For Me to Poop On,,,,,,,12,HR,2.0,7.5
2026-03-28,35457,For Me to Poop On,,,,,,,13,RBI,10.0,12.0
2026-03-28,35457,For Me to Poop On,,,,,,,16,SB,0.0,2.5
2026-03-28,35457,For Me to Poop On,,,,,,,3,AVG,0.231,7.0
2026-03-28,35457,For Me to Poop On,,,,,,,50,IP2,29.0,
2026-03-28,35457,For Me to Poop On,,,,,,,28,W,4.0,14.0
2026-03-28,35457,For Me to Poop On,,,,,,,42,K,36.0,14.0
2026-03-28,35457,For Me to Poop On,,,,,,,26,ERA,3.41,7.0
2026-03-28,35457,For Me to Poop On,,,,,,,27,WHIP,1.1,7.0
2026-03-28,35457,For Me to Poop On,,,,,,,89,SV2,2.0,13.0
2026-03-28,35457,Rebuilding Year v15.1,,,,,,,1,GP,12.0,
2026-03-28,35457,Rebuilding Year v15.1,,,,,,,60,SVH,,
2026-03-28,35457,Rebuilding Year v15.1,,,,,,,7,R,10.0,13.0
2026-03-28,35457,Rebuilding Year v15.1,,,,,,,12,HR,5.0,14.0
2026-03-28,35457,Rebuilding Year v15.1,,,,,,,13,RBI,7.0,9.0
2026-03-28,35457,Rebuilding Year v15.1,,,,,,,16,SB,2.0,11.0
2026-03-28,35457,Rebuilding Year v15.1,,,,,,,3,AVG,0.381,14.0
2026-03-28,35457,Rebuilding Year v15.1,,,,,,,50,IP2,14.0,
2026-03-28,35457,Rebuilding Year v15.1,,,,,,,28,W,0.0,3.5
2026-03-28,35457,Rebuilding Year v15.1,,,,,,,42,K,16.0,8.0
2026-03-28,35457,Rebuilding Year v15.1,,,,,,,26,ERA,4.5,4.0
