snapshot_date,league_id,team_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-04-22,35457,3,Ender Wiggins,,,,,,,1,GP,242.0,
2026-04-22,35457,3,Ender Wiggins,,,,,,,60,SVH,,
2026-04-22,35457,3,Ender Wiggins,,,,,,,7,R,132.0,11.0
2026-04-22,35457,3,Ender Wiggins,,,,,,,12,HR,37.0,12.0
2026-04-22,35457,3,Ender Wiggins,,,,,,,13,RBI,118.0,12.0
2026-04-22,35457,3,Ender Wiggins,,,,,,,16,SB,30.0,13.0
2026-04-22,35457,3,Ender Wiggins,,,,,,,3,AVG,0.259,14.0
2026-04-22,35457,3,Ender Wiggins,,,,,,,50,IP2,160.2,
2026-04-22,35457,3,Ender Wiggins,,,,,,,28,W,13.0,12.5
2026-04-22,35457,3,Ender Wiggins,,,,,,,42,K,168.0,9.5
2026-04-22,35457,3,Ender Wiggins,,,,,,,26,ERA,2.86,14.0
2026-04-22,35457,3,Ender Wiggins,,,,,,,27,WHIP,1.05,14.0
2026-04-22,35457,3,Ender Wiggins,,,,,,,89,SV2,14.0,8.5
2026-04-22,35457,5,Salad Dodgers,,,,,,,1,GP,229.0,
2026-04-22,35457,5,Salad Dodgers,,,,,,,60,SVH,,
2026-04-22,35457,5,Salad Dodgers,,,,,,,7,R,142.0,14.0
2026-04-22,35457,5,Salad Dodgers,,,,,,,12,HR,31.0,9.0
2026-04-22,35457,5,Salad Dodgers,,,,,,,13,RBI,112.0,7.0
2026-04-22,35457,5,Salad Dodgers,,,,,,,16,SB,18.0,5.0
2026-04-22,35457,5,Salad Dodgers,,,,,,,3,AVG,0.243,7.0
2026-04-22,35457,5,Salad Dodgers,,,,,,,50,IP2,192.2,
2026-04-22,35457,5,Salad Dodgers,,,,,,,28,W,15.0,14.0
2026-04-22,35457,5,Salad Dodgers,,,,,,,42,K,180.0,12.0
2026-04-22,35457,5,Salad Dodgers,,,,,,,26,ERA,3.92,8.0
2026-04-22,35457,5,Salad Dodgers,,,,,,,27,WHIP,1.24,7.0
2026-04-22,35457,5,Salad Dodgers,,,,,,,89,SV2,17.0,12.0
2026-04-22,35457,4,For Me to Poop On,,,,,,,1,GP,233.0,
2026-04-22,35457,4,For Me to Poop On,,,,,,,60,SVH,,
2026-04-22,35457,4,For Me to Poop On,,,,,,,7,R,127.0,9.0
2026-04-22,35457,4,For Me to Poop On,,,,,,,12,HR,26.0,5.0
2026-04-22,35457,4,For Me to Poop On,,,,,,,13,RBI,115.0,9.0
2026-04-22,35457,4,For Me to Poop On,,,,,,,16,SB,25.0,11.0
2026-04-22,35457,4,For Me to Poop On,,,,,,,3,AVG,0.241,6.0
2026-04-22,35457,4,For Me to Poop On,,,,,,,50,IP2,170.2,
2026-04-22,35457,4,For Me to Poop On,,,,,,,28,W,13.0,12.5
2026-04-22,35457,4,For Me to Poop On,,,,,,,42,K,175.0,11.0
