snapshot_date,league_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,1,GP,32.0,
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,60,SVH,,
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,7,R,23.0,13.5
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,12,HR,10.0,14.0
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,13,RBI,15.0,6.0
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,16,SB,4.0,11.5
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,3,AVG,0.292,14.0
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,50,IP2,33.0,
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,28,W,1.0,6.5
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,42,K,26.0,6.0
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,26,ERA,2.45,13.0
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,27,WHIP,1.09,12.0
2026-03-30,35457,Rebuilding Year v16.1,,,,,,,89,SV2,0.0,1.5
2026-03-30,35457,Ender Wiggins,,,,,,,1,GP,34.0,
2026-03-30,35457,Ender Wiggins,,,,,,,60,SVH,,
2026-03-30,35457,Ender Wiggins,,,,,,,7,R,18.0,9.0
2026-03-30,35457,Ender Wiggins,,,,,,,12,HR,5.0,9.0
2026-03-30,35457,Ender Wiggins,,,,,,,13,RBI,15.0,6.0
2026-03-30,35457,Ender Wiggins,,,,,,,16,SB,3.0,8.5
2026-03-30,35457,Ender Wiggins,,,,,,,3,AVG,0.262,12.0
2026-03-30,35457,Ender Wiggins,,,,,,,50,IP2,26.2,
2026-03-30,35457,Ender Wiggins,,,,,,,28,W,2.0,11.0
2026-03-30,35457,Ender Wiggins,,,,,,,42,K,33.0,11.5
2026-03-30,35457,Ender Wiggins,,,,,,,26,ERA,2.36,14.0
2026-03-30,35457,Ender Wiggins,,,,,,,27,WHIP,0.75,14.0
2026-03-30,35457,Ender Wiggins,,,,,,,89,SV2,0.0,1.5
2026-03-30,35457,Irkutsk Icepops,,,,,,,1,GP,36.0,
2026-03-30,35457,Irkutsk Icepops,,,,,,,60,SVH,,
2026-03-30,35457,Irkutsk Icepops,,,,,,,7,R,18.0,9.0
2026-03-30,35457,Irkutsk Icepops,,,,,,,12,HR,7.0,13.0
2026-03-30,35457,Irkutsk Icepops,,,,,,,13,RBI,17.0,9.5
2026-03-30,35457,Irkutsk Icepops,,,,,,,16,SB,5.0,13.0
2026-03-30,35457,Irkutsk Icepops,,,,,,,3,AVG,0.241,8.0
2026-03-30,35457,Irkutsk Icepops,,,,,,,50,IP2,21.0,
2026-03-30,35457,Irkutsk Icepops,,,,,,,28,W,1.0,6.5
2026-03-30,35457,Irkutsk Icepops,,,,,,,42,K,20.0,3.5
2026-03-30,35457,Irkutsk Icepops,,,,,,,26,ERA,3.86,9.0
2026-03-30,35457,Irkutsk Icepops,,,,,,,27,WHIP,1.14,9.0
2026-03-30,35457,Irkutsk Icepops,,,,,,,89,SV2,3.0,11.0
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,1,GP,31.0,
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,60,SVH,,
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,7,R,11.0,1.0
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,12,HR,4.0,6.0
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,13,RBI,20.0,13.5
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,16,SB,2.0,4.0
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,3,AVG,0.269,13.0
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,50,IP2,28.1,
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,28,W,1.0,6.5
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,42,K,42.0,14.0
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,26,ERA,3.18,12.0
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,27,WHIP,1.02,13.0
2026-03-30,35457,You Give Suck a Bad Name,,,,,,,89,SV2,1.0,3.5
2026-03-30,35457,VerRosenbergs,,,,,,,1,GP,30.0,
2026-03-30,35457,VerRosenbergs,,,,,,,60,SVH,,
2026-03-30,35457,VerRosenbergs,,,,,,,7,R,13.0,3.0
2026-03-30,35457,VerRosenbergs,,,,,,,12,HR,3.0,3.5
2026-03-30,35457,VerRosenbergs,,,,,,,13,RBI,15.0,6.0
2026-03-30,35457,VerRosenbergs,,,,,,,16,SB,4.0,11.5
2026-03-30,35457,VerRosenbergs,,,,,,,3,AVG,0.262,11.0
2026-03-30,35457,VerRosenbergs,,,,,,,50,IP2,26.0,
2026-03-30,35457,VerRosenbergs,,,,,,,28,W,2.0,11.0
2026-03-30,35457,VerRosenbergs,,,,,,,42,K,27.0,7.5
2026-03-30,35457,VerRosenbergs,,,,,,,26,ERA,3.46,11.0
2026-03-30,35457,VerRosenbergs,,,,,,,27,WHIP,1.12,10.0
2026-03-30,35457,VerRosenbergs,,,,,,,89,SV2,3.0,11.0
2026-03-30,35457,The Bear Jew,,,,,,,1,GP,33.0,
2026-03-30,35457,The Bear Jew,,,,,,,60,SVH,,
2026-03-30,35457,The Bear Jew,,,,,,,7,R,19.0,11.5
2026-03-30,35457,The Bear Jew,,,,,,,12,HR,5.0,9.0
2026-03-30,35457,The Bear Jew,,,,,,,13,RBI,19.0,12.0
2026-03-30,35457,The Bear Jew,,,,,,,16,SB,2.0,4.0
2026-03-30,35457,The Bear Jew,,,,,,,3,AVG,0.222,5.0
2026-03-30,35457,The Bear Jew,,,,,,,50,IP2,26.1,
2026-03-30,35457,The Bear Jew,,,,,,,28,W,3.0,13.0
2026-03-30,35457,The Bear Jew,,,,,,,42,K,33.0,11.5
2026-03-30,35457,The Bear Jew,,,,,,,26,ERA,4.44,7.0
2026-03-30,35457,The Bear Jew,,,,,,,27,WHIP,1.56,3.0
2026-03-30,35457,The Bear Jew,,,,,,,89,SV2,2.0,6.5
2026-03-30,35457,For Me to Poop On,,,,,,,1,GP,32.0,
2026-03-30,35457,For Me to Poop On,,,,,,,60,SVH,,
2026-03-30,35457,For Me to Poop On,,,,,,,7,R,12.0,2.0
2026-03-30,35457,For Me to Poop On,,,,,,,12,HR,2.0,1.5
2026-03-30,35457,For Me to Poop On,,,,,,,13,RBI,13.0,2.0
2026-03-30,35457,For Me to Poop On,,,,,,,16,SB,6.0,14.0
2026-03-30,35457,For Me to Poop On,,,,,,,3,AVG,0.238,7.0
2026-03-30,35457,For Me to Poop On,,,,,,,50,IP2,31.1,
2026-03-30,35457,For Me to Poop On,,,,,,,28,W,4.0,14.0
2026-03-30,35457,For Me to Poop On,,,,,,,42,K,39.0,13.0
2026-03-30,35457,For Me to Poop On,,,,,,,26,ERA,5.17,4.0
2026-03-30,35457,For Me to Poop On,,,,,,,27,WHIP,1.34,8.0
2026-03-30,35457,For Me to Poop On,,,,,,,89,SV2,3.0,11.0
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,1,GP,30.0,
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,60,SVH,,
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,7,R,15.0,5.5
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,12,HR,6.0,11.5
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,13,RBI,14.0,3.5
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,16,SB,2.0,4.0
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,3,AVG,0.261,10.0
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,50,IP2,24.1,
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,28,W,2.0,11.0
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,42,K,30.0,9.0
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,26,ERA,5.18,3.0
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,27,WHIP,1.36,7.0
2026-03-30,35457,Yokozuna’s Bogus Journey,,,,,,,89,SV2,3.0,11.0
2026-03-30,35457,Miracle Max's MLTs,,,,,,,1,GP,31.0,
2026-03-30,35457,Miracle Max's MLTs,,,,,,,60,SVH,,
2026-03-30,35457,Miracle Max's MLTs,,,,,,,7,R,19.0,11.5
2026-03-30,35457,Miracle Max's MLTs,,,,,,,12,HR,6.0,11.5
2026-03-30,35457,Miracle Max's MLTs,,,,,,,13,RBI,17.0,9.5
2026-03-30,35457,Miracle Max's MLTs,,,,,,,16,SB,3.0,8.5
2026-03-30,35457,Miracle Max's MLTs,,,,,,,3,AVG,0.209,2.0
2026-03-30,35457,Miracle Max's MLTs,,,,,,,50,IP2,22.2,
2026-03-30,35457,Miracle Max's MLTs,,,,,,,28,W,0.0,2.0
2026-03-30,35457,Miracle Max's MLTs,,,,,,,42,K,20.0,3.5
2026-03-30,35457,Miracle Max's MLTs,,,,,,,26,ERA,4.37,8.0
2026-03-30,35457,Miracle Max's MLTs,,,,,,,27,WHIP,1.1,11.0
2026-03-30,35457,Miracle Max's MLTs,,,,,,,89,SV2,2.0,6.5
2026-03-30,35457,Rolo Tomasi,,,,,,,1,GP,37.0,
2026-03-30,35457,Rolo Tomasi,,,,,,,60,SVH,,
2026-03-30,35457,Rolo Tomasi,,,,,,,7,R,23.0,13.5
2026-03-30,35457,Rolo Tomasi,,,,,,,12,HR,5.0,9.0
2026-03-30,35457,Rolo Tomasi,,,,,,,13,RBI,20.0,13.5
2026-03-30,35457,Rolo Tomasi,,,,,,,16,SB,3.0,8.5
2026-03-30,35457,Rolo Tomasi,,,,,,,3,AVG,0.225,6.0
2026-03-30,35457,Rolo Tomasi,,,,,,,50,IP2,11.2,
2026-03-30,35457,Rolo Tomasi,,,,,,,28,W,1.0,6.5
2026-03-30,35457,Rolo Tomasi,,,,,,,42,K,18.0,2.0
2026-03-30,35457,Rolo Tomasi,,,,,,,26,ERA,9.26,1.0
2026-03-30,35457,Rolo Tomasi,,,,,,,27,WHIP,1.71,1.5
2026-03-30,35457,Rolo Tomasi,,,,,,,89,SV2,2.0,6.5
2026-03-30,35457,Pez,,,,,,,1,GP,31.0,
2026-03-30,35457,Pez,,,,,,,60,SVH,,
2026-03-30,35457,Pez,,,,,,,7,R,14.0,4.0
2026-03-30,35457,Pez,,,,,,,12,HR,2.0,1.5
2026-03-30,35457,Pez,,,,,,,13,RBI,18.0,11.0
2026-03-30,35457,Pez,,,,,,,16,SB,2.0,4.0
2026-03-30,35457,Pez,,,,,,,3,AVG,0.257,9.0
2026-03-30,35457,Pez,,,,,,,50,IP2,20.1,
2026-03-30,35457,Pez,,,,,,,28,W,0.0,2.0
2026-03-30,35457,Pez,,,,,,,42,K,27.0,7.5
2026-03-30,35457,Pez,,,,,,,26,ERA,3.54,10.0
2026-03-30,35457,Pez,,,,,,,27,WHIP,1.48,4.0
2026-03-30,35457,Pez,,,,,,,89,SV2,3.0,11.0
2026-03-30,35457,Salad Dodgers,,,,,,,1,GP,31.0,
2026-03-30,35457,Salad Dodgers,,,,,,,60,SVH,,
2026-03-30,35457,Salad Dodgers,,,,,,,7,R,18.0,9.0
2026-03-30,35457,Salad Dodgers,,,,,,,12,HR,3.0,3.5
