snapshot_date,league_id,team_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-04-29,35457,3,Ender Wiggins,,,,,,,1,GP,304.0,
2026-04-29,35457,3,Ender Wiggins,,,,,,,60,SVH,,
2026-04-29,35457,3,Ender Wiggins,,,,,,,7,R,168.0,11.0
2026-04-29,35457,3,Ender Wiggins,,,,,,,12,HR,54.0,13.0
2026-04-29,35457,3,Ender Wiggins,,,,,,,13,RBI,162.0,13.5
2026-04-29,35457,3,Ender Wiggins,,,,,,,16,SB,39.0,13.0
2026-04-29,35457,3,Ender Wiggins,,,,,,,3,AVG,0.262,14.0
2026-04-29,35457,3,Ender Wiggins,,,,,,,50,IP2,195.2,
2026-04-29,35457,3,Ender Wiggins,,,,,,,28,W,14.0,9.5
2026-04-29,35457,3,Ender Wiggins,,,,,,,42,K,196.0,5.0
2026-04-29,35457,3,Ender Wiggins,,,,,,,26,ERA,2.99,14.0
2026-04-29,35457,3,Ender Wiggins,,,,,,,27,WHIP,1.05,14.0
2026-04-29,35457,3,Ender Wiggins,,,,,,,89,SV2,19.0,9.5
2026-04-29,35457,4,For Me to Poop On,,,,,,,1,GP,295.0,
2026-04-29,35457,4,For Me to Poop On,,,,,,,60,SVH,,
2026-04-29,35457,4,For Me to Poop On,,,,,,,7,R,152.0,9.0
2026-04-29,35457,4,For Me to Poop On,,,,,,,12,HR,31.0,3.0
2026-04-29,35457,4,For Me to Poop On,,,,,,,13,RBI,146.0,7.5
2026-04-29,35457,4,For Me to Poop On,,,,,,,16,SB,29.0,9.0
2026-04-29,35457,4,For Me to Poop On,,,,,,,3,AVG,0.24,3.0
2026-04-29,35457,4,For Me to Poop On,,,,,,,50,IP2,217.2,
2026-04-29,35457,4,For Me to Poop On,,,,,,,28,W,17.0,13.5
2026-04-29,35457,4,For Me to Poop On,,,,,,,42,K,227.0,13.0
2026-04-29,35457,4,For Me to Poop On,,,,,,,26,ERA,3.47,12.0
2026-04-29,35457,4,For Me to Poop On,,,,,,,27,WHIP,1.13,12.0
2026-04-29,35457,4,For Me to Poop On,,,,,,,89,SV2,23.0,13.5
2026-04-29,35457,1,The Bear Jew,,,,,,,1,GP,295.0,
2026-04-29,35457,1,The Bear Jew,,,,,,,60,SVH,,
2026-04-29,35457,1,The Bear Jew,,,,,,,7,R,164.0,10.0
2026-04-29,35457,1,The Bear Jew,,,,,,,12,HR,36.0,5.5
2026-04-29,35457,1,The Bear Jew,,,,,,,13,RBI,150.0,12.0
2026-04-29,35457,1,The Bear Jew,,,,,,,16,SB,16.0,3.0
2026-04-29,35457,1,The Bear Jew,,,,,,,3,AVG,0.246,7.0
2026-04-29,35457,1,The Bear Jew,,,,,,,50,IP2,183.0,
2026-04-29,35457,1,The Bear Jew,,,,,,,28,W,15.0,11.5
2026-04-29,35457,1,The Bear Jew,,,,,,,42,K,201.0,6.0
2026-04-29,35457,1,The Bear Jew,,,,,,,26,ERA,3.44,13.0
2026-04-29,35457,1,The Bear Jew,,,,,,,27,WHIP,1.13,11.0
2026-04-29,35457,1,The Bear Jew,,,,,,,89,SV2,19.0,9.5
2026-04-29,35457,5,Salad Dodgers,,,,,,,1,GP,291.0,
2026-04-29,35457,5,Salad Dodgers,,,,,,,60,SVH,,
2026-04-29,35457,5,Salad Dodgers,,,,,,,7,R,188.0,14.0
2026-04-29,35457,5,Salad Dodgers,,,,,,,12,HR,43.0,10.5
2026-04-29,35457,5,Salad Dodgers,,,,,,,13,RBI,148.0,9.5
2026-04-29,35457,5,Salad Dodgers,,,,,,,16,SB,21.0,5.0
2026-04-29,35457,5,Salad Dodgers,,,,,,,3,AVG,0.246,8.0
2026-04-29,35457,5,Salad Dodgers,,,,,,,50,IP2,223.0,
2026-04-29,35457,5,Salad Dodgers,,,,,,,28,W,17.0,13.5
2026-04-29,35457,5,Salad Dodgers,,,,,,,42,K,213.0,9.5
2026-04-29,35457,5,Salad Dodgers,,,,,,,26,ERA,4.08,6.0
2026-04-29,35457,5,Salad Dodgers,,,,,,,27,WHIP,1.33,5.0
2026-04-29,35457,5,Salad Dodgers,,,,,,,89,SV2,17.0,7.0
2026-04-29,35457,10,Rebuilding Year v16.1,,,,,,,1,GP,281.0,
2026-04-29,35457,10,Rebuilding Year v16.1,,,,,,,60,SVH,,
