snapshot_date,league_id,team_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-05-27,35457,3,Ender Wiggins,,,,,,,1,GP,538.0,
2026-05-27,35457,3,Ender Wiggins,,,,,,,60,SVH,,
2026-05-27,35457,3,Ender Wiggins,,,,,,,7,R,309.0,13.0
2026-05-27,35457,3,Ender Wiggins,,,,,,,12,HR,89.0,13.0
2026-05-27,35457,3,Ender Wiggins,,,,,,,13,RBI,270.0,10.0
2026-05-27,35457,3,Ender Wiggins,,,,,,,16,SB,65.0,13.0
2026-05-27,35457,3,Ender Wiggins,,,,,,,3,AVG,0.255,13.0
2026-05-27,35457,3,Ender Wiggins,,,,,,,50,IP2,354.2,
2026-05-27,35457,3,Ender Wiggins,,,,,,,28,W,27.0,11.0
2026-05-27,35457,3,Ender Wiggins,,,,,,,42,K,340.0,4.0
2026-05-27,35457,3,Ender Wiggins,,,,,,,26,ERA,2.94,14.0
2026-05-27,35457,3,Ender Wiggins,,,,,,,27,WHIP,1.05,14.0
2026-05-27,35457,3,Ender Wiggins,,,,,,,89,SV2,38.0,11.5
2026-05-27,35457,1,The Bear Jew,,,,,,,1,GP,546.0,
2026-05-27,35457,1,The Bear Jew,,,,,,,60,SVH,,
2026-05-27,35457,1,The Bear Jew,,,,,,,7,R,289.0,10.0
2026-05-27,35457,1,The Bear Jew,,,,,,,12,HR,76.0,10.0
2026-05-27,35457,1,The Bear Jew,,,,,,,13,RBI,271.0,11.0
2026-05-27,35457,1,The Bear Jew,,,,,,,16,SB,32.0,3.0
2026-05-27,35457,1,The Bear Jew,,,,,,,3,AVG,0.253,10.0
2026-05-27,35457,1,The Bear Jew,,,,,,,50,IP2,349.0,
2026-05-27,35457,1,The Bear Jew,,,,,,,28,W,28.0,13.0
2026-05-27,35457,1,The Bear Jew,,,,,,,42,K,379.0,9.0
2026-05-27,35457,1,The Bear Jew,,,,,,,26,ERA,3.15,12.0
2026-05-27,35457,1,The Bear Jew,,,,,,,27,WHIP,1.15,11.0
2026-05-27,35457,1,The Bear Jew,,,,,,,89,SV2,43.0,14.0
2026-05-27,35457,5,Salad Dodgers,,,,,,,1,GP,545.0,
