snapshot_date,league_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-03-31,35457,For Me to Poop On,,,,,,,16,SB,7.0,14.0
2026-03-31,35457,For Me to Poop On,,,,,,,3,AVG,0.248,10.0
2026-03-31,35457,For Me to Poop On,,,,,,,50,IP2,31.1,
2026-03-31,35457,For Me to Poop On,,,,,,,28,W,4.0,13.5
2026-03-31,35457,For Me to Poop On,,,,,,,42,K,39.0,12.0
2026-03-31,35457,For Me to Poop On,,,,,,,26,ERA,5.17,3.0
2026-03-31,35457,For Me to Poop On,,,,,,,27,WHIP,1.34,6.0
2026-03-31,35457,For Me to Poop On,,,,,,,89,SV2,3.0,11.0
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,1,GP,40.0,
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,60,SVH,,
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,7,R,19.0,6.0
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,12,HR,6.0,9.5
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,13,RBI,17.0,4.5
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,16,SB,3.0,6.0
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,3,AVG,0.24,7.0
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,50,IP2,30.1,
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,28,W,2.0,8.5
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,42,K,37.0,11.0
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,26,ERA,4.15,7.0
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,27,WHIP,1.22,9.0
2026-03-31,35457,Yokozuna’s Bogus Journey,,,,,,,89,SV2,3.0,11.0
2026-03-31,35457,Salad Dodgers,,,,,,,1,GP,41.0,
2026-03-31,35457,Salad Dodgers,,,,,,,60,SVH,,
2026-03-31,35457,Salad Dodgers,,,,,,,7,R,22.0,7.5
2026-03-31,35457,Salad Dodgers,,,,,,,12,HR,5.0,5.5
2026-03-31,35457,Salad Dodgers,,,,,,,13,RBI,14.0,1.0
2026-03-31,35457,Salad Dodgers,,,,,,,16,SB,1.0,1.0
2026-03-31,35457,Salad Dodgers,,,,,,,3,AVG,0.219,3.0
2026-03-31,35457,Salad Dodgers,,,,,,,50,IP2,45.2,
2026-03-31,35457,Salad Dodgers,,,,,,,28,W,4.0,13.5
2026-03-31,35457,Salad Dodgers,,,,,,,42,K,46.0,14.0
2026-03-31,35457,Salad Dodgers,,,,,,,26,ERA,3.55,11.0
2026-03-31,35457,Salad Dodgers,,,,,,,27,WHIP,1.29,7.0
2026-03-31,35457,Salad Dodgers,,,,,,,89,SV2,4.0,14.0
2026-03-31,35457,Pez,,,,,,,1,GP,40.0,
2026-03-31,35457,Pez,,,,,,,60,SVH,,
2026-03-31,35457,Pez,,,,,,,7,R,18.0,4.5
2026-03-31,35457,Pez,,,,,,,12,HR,3.0,2.5
2026-03-31,35457,Pez,,,,,,,13,RBI,22.0,10.5
2026-03-31,35457,Pez,,,,,,,16,SB,6.0,12.5
2026-03-31,35457,Pez,,,,,,,3,AVG,0.24,6.0
2026-03-31,35457,Pez,,,,,,,50,IP2,20.1,
2026-03-31,35457,Pez,,,,,,,28,W,0.0,2.0
2026-03-31,35457,Pez,,,,,,,42,K,27.0,4.0
2026-03-31,35457,Pez,,,,,,,26,ERA,3.54,12.0
2026-03-31,35457,Pez,,,,,,,27,WHIP,1.48,4.0
2026-03-31,35457,Pez,,,,,,,89,SV2,3.0,11.0
2026-03-31,35457,The Bear Jew,,,,,,,1,GP,43.0,
2026-03-31,35457,The Bear Jew,,,,,,,60,SVH,,
2026-03-31,35457,The Bear Jew,,,,,,,7,R,24.0,12.0
2026-03-31,35457,The Bear Jew,,,,,,,12,HR,6.0,9.5
2026-03-31,35457,The Bear Jew,,,,,,,13,RBI,22.0,10.5
2026-03-31,35457,The Bear Jew,,,,,,,16,SB,2.0,3.0
2026-03-31,35457,The Bear Jew,,,,,,,3,AVG,0.205,2.0
2026-03-31,35457,The Bear Jew,,,,,,,50,IP2,28.1,
2026-03-31,35457,The Bear Jew,,,,,,,28,W,3.0,11.5
2026-03-31,35457,The Bear Jew,,,,,,,42,K,34.0,8.0
2026-03-31,35457,The Bear Jew,,,,,,,26,ERA,5.08,4.0
