snapshot_date,league_id,team_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-05-19,35457,3,Ender Wiggins,,,,,,,1,GP,477.0,
2026-05-19,35457,3,Ender Wiggins,,,,,,,60,SVH,,
2026-05-19,35457,3,Ender Wiggins,,,,,,,7,R,280.0,14.0
2026-05-19,35457,3,Ender Wiggins,,,,,,,12,HR,79.0,13.0
2026-05-19,35457,3,Ender Wiggins,,,,,,,13,RBI,238.0,12.0
2026-05-19,35457,3,Ender Wiggins,,,,,,,16,SB,57.0,13.0
2026-05-19,35457,3,Ender Wiggins,,,,,,,3,AVG,0.257,12.0
2026-05-19,35457,3,Ender Wiggins,,,,,,,50,IP2,308.1,
2026-05-19,35457,3,Ender Wiggins,,,,,,,28,W,23.0,10.5
2026-05-19,35457,3,Ender Wiggins,,,,,,,42,K,296.0,4.0
2026-05-19,35457,3,Ender Wiggins,,,,,,,26,ERA,3.04,13.0
2026-05-19,35457,3,Ender Wiggins,,,,,,,27,WHIP,1.04,14.0
2026-05-19,35457,3,Ender Wiggins,,,,,,,89,SV2,32.0,10.0
2026-05-19,35457,1,The Bear Jew,,,,,,,1,GP,471.0,
2026-05-19,35457,1,The Bear Jew,,,,,,,60,SVH,,
2026-05-19,35457,1,The Bear Jew,,,,,,,7,R,249.0,10.0
2026-05-19,35457,1,The Bear Jew,,,,,,,12,HR,65.0,10.0
2026-05-19,35457,1,The Bear Jew,,,,,,,13,RBI,235.0,11.0
2026-05-19,35457,1,The Bear Jew,,,,,,,16,SB,29.0,3.0
2026-05-19,35457,1,The Bear Jew,,,,,,,3,AVG,0.248,7.0
2026-05-19,35457,1,The Bear Jew,,,,,,,50,IP2,312.1,
2026-05-19,35457,1,The Bear Jew,,,,,,,28,W,26.0,14.0
2026-05-19,35457,1,The Bear Jew,,,,,,,42,K,345.0,11.0
2026-05-19,35457,1,The Bear Jew,,,,,,,26,ERA,3.26,11.0
2026-05-19,35457,1,The Bear Jew,,,,,,,27,WHIP,1.14,11.0
2026-05-19,35457,1,The Bear Jew,,,,,,,89,SV2,37.0,14.0
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,1,GP,473.0,
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,60,SVH,,
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,7,R,231.0,7.0
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,12,HR,62.0,9.0
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,13,RBI,222.0,8.0
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,16,SB,23.0,1.0
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,3,AVG,0.249,8.0
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,50,IP2,352.1,
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,28,W,24.0,12.0
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,42,K,381.0,14.0
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,26,ERA,3.01,14.0
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,27,WHIP,1.1,13.0
2026-05-19,35457,14,You Give Suck a Bad Name,,,,,,,89,SV2,30.0,7.5
2026-05-19,35457,2,Avners iballers,,,,,,,1,GP,478.0,
2026-05-19,35457,2,Avners iballers,,,,,,,60,SVH,,
2026-05-19,35457,2,Avners iballers,,,,,,,7,R,244.0,9.0
2026-05-19,35457,2,Avners iballers,,,,,,,12,HR,71.0,11.5
2026-05-19,35457,2,Avners iballers,,,,,,,13,RBI,257.0,14.0
2026-05-19,35457,2,Avners iballers,,,,,,,16,SB,48.0,11.0
2026-05-19,35457,2,Avners iballers,,,,,,,3,AVG,0.259,14.0
2026-05-19,35457,2,Avners iballers,,,,,,,50,IP2,317.2,
2026-05-19,35457,2,Avners iballers,,,,,,,28,W,18.0,4.5
2026-05-19,35457,2,Avners iballers,,,,,,,42,K,335.0,9.0
2026-05-19,35457,2,Avners iballers,,,,,,,26,ERA,4.53,2.0
2026-05-19,35457,2,Avners iballers,,,,,,,27,WHIP,1.28,7.0
2026-05-19,35457,2,Avners iballers,,,,,,,89,SV2,23.0,5.0
2026-05-19,35457,4,For Me to Poop On,,,,,,,1,GP,474.0,
2026-05-19,35457,4,For Me to Poop On,,,,,,,60,SVH,,
2026-05-19,35457,4,For Me to Poop On,,,,,,,7,R,229.0,5.0
2026-05-19,35457,4,For Me to Poop On,,,,,,,12,HR,51.0,3.5
2026-05-19,35457,4,For Me to Poop On,,,,,,,13,RBI,215.0,7.0
2026-05-19,35457,4,For Me to Poop On,,,,,,,16,SB,46.0,9.0
2026-05-19,35457,4,For Me to Poop On,,,,,,,3,AVG,0.232,1.0
2026-05-19,35457,4,For Me to Poop On,,,,,,,50,IP2,324.2,
2026-05-19,35457,4,For Me to Poop On,,,,,,,28,W,25.0,13.0
2026-05-19,35457,4,For Me to Poop On,,,,,,,42,K,350.0,12.0
2026-05-19,35457,4,For Me to Poop On,,,,,,,26,ERA,3.19,12.0
2026-05-19,35457,4,For Me to Poop On,,,,,,,27,WHIP,1.13,12.0
2026-05-19,35457,4,For Me to Poop On,,,,,,,89,SV2,33.0,12.0
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,1,GP,466.0,
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,60,SVH,,
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,7,R,276.0,12.5
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,12,HR,91.0,14.0
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,13,RBI,248.0,13.0
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,16,SB,32.0,4.0
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,3,AVG,0.256,11.0
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,50,IP2,267.2,
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,28,W,21.0,9.0
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,42,K,305.0,5.0
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,26,ERA,4.27,5.0
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,27,WHIP,1.35,2.0
2026-05-19,35457,8,Nish's Rec League Team,,,,,,,89,SV2,21.0,4.0
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,1,GP,451.0,
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,60,SVH,,
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,7,R,258.0,11.0
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,12,HR,71.0,11.5
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,13,RBI,208.0,4.0
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,16,SB,41.0,7.5
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,3,AVG,0.239,3.0
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,50,IP2,387.2,
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,28,W,19.0,6.5
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,42,K,369.0,13.0
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,26,ERA,4.29,4.0
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,27,WHIP,1.31,4.0
2026-05-19,35457,10,Rebuilding Year v16.1,,,,,,,89,SV2,32.0,10.0
2026-05-19,35457,5,Salad Dodgers,,,,,,,1,GP,471.0,
2026-05-19,35457,5,Salad Dodgers,,,,,,,60,SVH,,
2026-05-19,35457,5,Salad Dodgers,,,,,,,7,R,276.0,12.5
2026-05-19,35457,5,Salad Dodgers,,,,,,,12,HR,60.0,8.0
2026-05-19,35457,5,Salad Dodgers,,,,,,,13,RBI,232.0,9.0
2026-05-19,35457,5,Salad Dodgers,,,,,,,16,SB,41.0,7.5
2026-05-19,35457,5,Salad Dodgers,,,,,,,3,AVG,0.246,6.0
2026-05-19,35457,5,Salad Dodgers,,,,,,,50,IP2,358.1,
2026-05-19,35457,5,Salad Dodgers,,,,,,,28,W,20.0,8.0
2026-05-19,35457,5,Salad Dodgers,,,,,,,42,K,343.0,10.0
2026-05-19,35457,5,Salad Dodgers,,,,,,,26,ERA,4.37,3.0
2026-05-19,35457,5,Salad Dodgers,,,,,,,27,WHIP,1.35,1.0
2026-05-19,35457,5,Salad Dodgers,,,,,,,89,SV2,30.0,7.5
2026-05-19,35457,12,VerRosenbergs,,,,,,,1,GP,467.0,
2026-05-19,35457,12,VerRosenbergs,,,,,,,60,SVH,,
2026-05-19,35457,12,VerRosenbergs,,,,,,,7,R,221.0,2.5
2026-05-19,35457,12,VerRosenbergs,,,,,,,12,HR,51.0,3.5
2026-05-19,35457,12,VerRosenbergs,,,,,,,13,RBI,233.0,10.0
2026-05-19,35457,12,VerRosenbergs,,,,,,,16,SB,39.0,6.0
2026-05-19,35457,12,VerRosenbergs,,,,,,,3,AVG,0.254,9.0
