snapshot_date,league_id,team_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-07-04,35457,3,Ender Wiggins,,,,,,,1,GP,855.0,
2026-07-04,35457,3,Ender Wiggins,,,,,,,60,SVH,,
2026-07-04,35457,3,Ender Wiggins,,,,,,,7,R,483.0,12.0
2026-07-04,35457,3,Ender Wiggins,,,,,,,12,HR,138.0,11.0
2026-07-04,35457,3,Ender Wiggins,,,,,,,13,RBI,440.0,10.0
2026-07-04,35457,3,Ender Wiggins,,,,,,,16,SB,97.0,14.0
2026-07-04,35457,3,Ender Wiggins,,,,,,,3,AVG,0.255,9.0
2026-07-04,35457,3,Ender Wiggins,,,,,,,50,IP2,570.1,
2026-07-04,35457,3,Ender Wiggins,,,,,,,28,W,44.0,13.0
2026-07-04,35457,3,Ender Wiggins,,,,,,,42,K,524.0,3.0
2026-07-04,35457,3,Ender Wiggins,,,,,,,26,ERA,3.39,11.0
2026-07-04,35457,3,Ender Wiggins,,,,,,,27,WHIP,1.13,11.0
2026-07-04,35457,3,Ender Wiggins,,,,,,,89,SV2,57.0,7.5
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,1,GP,857.0,
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,60,SVH,,
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,7,R,517.0,14.0
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,12,HR,152.0,13.0
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,13,RBI,432.0,8.5
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,16,SB,76.0,7.0
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,3,AVG,0.248,3.0
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,50,IP2,659.2,
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,28,W,44.0,13.0
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,42,K,676.0,14.0
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,26,ERA,3.68,8.0
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,27,WHIP,1.19,9.0
2026-07-04,35457,10,Rebuilding Year v16.1,,,,,,,89,SV2,65.0,12.0
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,1,GP,874.0,
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,60,SVH,,
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,7,R,454.0,9.0
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,12,HR,132.0,10.0
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,13,RBI,430.0,7.0
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,16,SB,46.0,1.0
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,3,AVG,0.264,14.0
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,50,IP2,615.1,
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,28,W,40.0,8.5
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,42,K,661.0,13.0
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,26,ERA,3.38,12.0
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,27,WHIP,1.12,13.0
2026-07-04,35457,14,You Give Suck a Bad Name,,,,,,,89,SV2,57.0,7.5
2026-07-04,35457,1,The Bear Jew,,,,,,,1,GP,873.0,
2026-07-04,35457,1,The Bear Jew,,,,,,,60,SVH,,
2026-07-04,35457,1,The Bear Jew,,,,,,,7,R,458.0,10.0
2026-07-04,35457,1,The Bear Jew,,,,,,,12,HR,120.0,8.0
2026-07-04,35457,1,The Bear Jew,,,,,,,13,RBI,432.0,8.5
2026-07-04,35457,1,The Bear Jew,,,,,,,16,SB,59.0,5.0
2026-07-04,35457,1,The Bear Jew,,,,,,,3,AVG,0.256,11.0
2026-07-04,35457,1,The Bear Jew,,,,,,,50,IP2,595.2,
2026-07-04,35457,1,The Bear Jew,,,,,,,28,W,43.0,11.0
2026-07-04,35457,1,The Bear Jew,,,,,,,42,K,639.0,11.0
2026-07-04,35457,1,The Bear Jew,,,,,,,26,ERA,3.41,10.0
2026-07-04,35457,1,The Bear Jew,,,,,,,27,WHIP,1.19,8.0
2026-07-04,35457,1,The Bear Jew,,,,,,,89,SV2,59.0,11.0
2026-07-04,35457,8,Nish's Rec League Team,,,,,,,1,GP,844.0,
2026-07-04,35457,8,Nish's Rec League Team,,,,,,,60,SVH,,
2026-07-04,35457,8,Nish's Rec League Team,,,,,,,7,R,451.0,7.0
2026-07-04,35457,8,Nish's Rec League Team,,,,,,,12,HR,160.0,14.0
2026-07-04,35457,8,Nish's Rec League Team,,,,,,,13,RBI,445.0,12.0
2026-07-04,35457,8,Nish's Rec League Team,,,,,,,16,SB,54.0,3.0
2026-07-04,35457,8,Nish's Rec League Team,,,,,,,3,AVG,0.255,10.0
2026-07-04,35457,8,Nish's Rec League Team,,,,,,,50,IP2,546.0,
2026-07-04,35457,8,Nish's Rec League Team,,,,,,,28,W,42.0,10.0
2026-07-04,35457,8,Nish's Rec League Team,,,,,,,42,K,625.0,10.0
