snapshot_date,league_id,team_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-04-30,35457,3,Ender Wiggins,,,,,,,1,GP,314.0,
2026-04-30,35457,3,Ender Wiggins,,,,,,,60,SVH,,
2026-04-30,35457,3,Ender Wiggins,,,,,,,7,R,172.0,11.0
2026-04-30,35457,3,Ender Wiggins,,,,,,,12,HR,54.0,12.5
2026-04-30,35457,3,Ender Wiggins,,,,,,,13,RBI,165.0,13.0
2026-04-30,35457,3,Ender Wiggins,,,,,,,16,SB,40.0,13.0
2026-04-30,35457,3,Ender Wiggins,,,,,,,3,AVG,0.261,14.0
2026-04-30,35457,3,Ender Wiggins,,,,,,,50,IP2,204.0,
2026-04-30,35457,3,Ender Wiggins,,,,,,,28,W,15.0,11.0
2026-04-30,35457,3,Ender Wiggins,,,,,,,42,K,204.0,5.5
2026-04-30,35457,3,Ender Wiggins,,,,,,,26,ERA,2.96,14.0
2026-04-30,35457,3,Ender Wiggins,,,,,,,27,WHIP,1.03,14.0
2026-04-30,35457,3,Ender Wiggins,,,,,,,89,SV2,19.0,9.0
2026-04-30,35457,4,For Me to Poop On,,,,,,,1,GP,301.0,
2026-04-30,35457,4,For Me to Poop On,,,,,,,60,SVH,,
2026-04-30,35457,4,For Me to Poop On,,,,,,,7,R,154.0,8.0
2026-04-30,35457,4,For Me to Poop On,,,,,,,12,HR,33.0,3.0
2026-04-30,35457,4,For Me to Poop On,,,,,,,13,RBI,151.0,8.0
2026-04-30,35457,4,For Me to Poop On,,,,,,,16,SB,29.0,8.5
2026-04-30,35457,4,For Me to Poop On,,,,,,,3,AVG,0.24,3.0
2026-04-30,35457,4,For Me to Poop On,,,,,,,50,IP2,218.2,
2026-04-30,35457,4,For Me to Poop On,,,,,,,28,W,17.0,13.5
2026-04-30,35457,4,For Me to Poop On,,,,,,,42,K,228.0,12.0
2026-04-30,35457,4,For Me to Poop On,,,,,,,26,ERA,3.5,11.0
2026-04-30,35457,4,For Me to Poop On,,,,,,,27,WHIP,1.13,12.0
2026-04-30,35457,4,For Me to Poop On,,,,,,,89,SV2,23.0,13.0
2026-04-30,35457,1,The Bear Jew,,,,,,,1,GP,305.0,
2026-04-30,35457,1,The Bear Jew,,,,,,,60,SVH,,
2026-04-30,35457,1,The Bear Jew,,,,,,,7,R,168.0,10.0
2026-04-30,35457,1,The Bear Jew,,,,,,,12,HR,38.0,6.0
2026-04-30,35457,1,The Bear Jew,,,,,,,13,RBI,154.0,11.5
2026-04-30,35457,1,The Bear Jew,,,,,,,16,SB,16.0,2.0
2026-04-30,35457,1,The Bear Jew,,,,,,,3,AVG,0.248,8.0
2026-04-30,35457,1,The Bear Jew,,,,,,,50,IP2,184.1,
2026-04-30,35457,1,The Bear Jew,,,,,,,28,W,15.0,11.0
2026-04-30,35457,1,The Bear Jew,,,,,,,42,K,204.0,5.5
2026-04-30,35457,1,The Bear Jew,,,,,,,26,ERA,3.42,13.0
2026-04-30,35457,1,The Bear Jew,,,,,,,27,WHIP,1.13,13.0
2026-04-30,35457,1,The Bear Jew,,,,,,,89,SV2,21.0,11.0
2026-04-30,35457,5,Salad Dodgers,,,,,,,1,GP,301.0,
2026-04-30,35457,5,Salad Dodgers,,,,,,,60,SVH,,
2026-04-30,35457,5,Salad Dodgers,,,,,,,7,R,193.0,14.0
2026-04-30,35457,5,Salad Dodgers,,,,,,,12,HR,44.0,11.0
2026-04-30,35457,5,Salad Dodgers,,,,,,,13,RBI,154.0,11.5
2026-04-30,35457,5,Salad Dodgers,,,,,,,16,SB,21.0,5.0
2026-04-30,35457,5,Salad Dodgers,,,,,,,3,AVG,0.242,5.0
2026-04-30,35457,5,Salad Dodgers,,,,,,,50,IP2,236.1,
2026-04-30,35457,5,Salad Dodgers,,,,,,,28,W,17.0,13.5
2026-04-30,35457,5,Salad Dodgers,,,,,,,42,K,223.0,11.0
2026-04-30,35457,5,Salad Dodgers,,,,,,,26,ERA,4.0,6.0
2026-04-30,35457,5,Salad Dodgers,,,,,,,27,WHIP,1.33,5.0
2026-04-30,35457,5,Salad Dodgers,,,,,,,89,SV2,18.0,7.5
2026-04-30,35457,2,Avners iballers,,,,,,,1,GP,307.0,
2026-04-30,35457,2,Avners iballers,,,,,,,60,SVH,,
2026-04-30,35457,2,Avners iballers,,,,,,,7,R,152.0,7.0
2026-04-30,35457,2,Avners iballers,,,,,,,12,HR,43.0,10.0
2026-04-30,35457,2,Avners iballers,,,,,,,13,RBI,167.0,14.0
2026-04-30,35457,2,Avners iballers,,,,,,,16,SB,36.0,12.0
2026-04-30,35457,2,Avners iballers,,,,,,,3,AVG,0.256,11.0
2026-04-30,35457,2,Avners iballers,,,,,,,50,IP2,189.0,
2026-04-30,35457,2,Avners iballers,,,,,,,28,W,11.0,6.0
2026-04-30,35457,2,Avners iballers,,,,,,,42,K,208.0,8.0
2026-04-30,35457,2,Avners iballers,,,,,,,26,ERA,4.71,3.0
2026-04-30,35457,2,Avners iballers,,,,,,,27,WHIP,1.31,6.0
2026-04-30,35457,2,Avners iballers,,,,,,,89,SV2,18.0,7.5
