snapshot_date,league_id,team_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-07-21,35457,3,Ender Wiggins,,,,,,,1,GP,978.0,
2026-07-21,35457,3,Ender Wiggins,,,,,,,60,SVH,,
2026-07-21,35457,3,Ender Wiggins,,,,,,,7,R,558.0,12.0
2026-07-21,35457,3,Ender Wiggins,,,,,,,12,HR,162.0,11.0
2026-07-21,35457,3,Ender Wiggins,,,,,,,13,RBI,513.0,12.0
2026-07-21,35457,3,Ender Wiggins,,,,,,,16,SB,108.0,14.0
2026-07-21,35457,3,Ender Wiggins,,,,,,,3,AVG,0.256,13.0
2026-07-21,35457,3,Ender Wiggins,,,,,,,50,IP2,675.0,
2026-07-21,35457,3,Ender Wiggins,,,,,,,28,W,53.0,14.0
2026-07-21,35457,3,Ender Wiggins,,,,,,,42,K,640.0,5.0
2026-07-21,35457,3,Ender Wiggins,,,,,,,26,ERA,3.31,13.0
2026-07-21,35457,3,Ender Wiggins,,,,,,,27,WHIP,1.11,13.0
2026-07-21,35457,3,Ender Wiggins,,,,,,,89,SV2,65.0,8.5
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,1,GP,982.0,
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,60,SVH,,
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,7,R,597.0,14.0
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,12,HR,170.0,13.0
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,13,RBI,505.0,10.0
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,16,SB,86.0,7.0
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,3,AVG,0.251,6.0
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,50,IP2,727.1,
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,28,W,47.0,10.5
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,42,K,762.0,14.0
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,26,ERA,3.64,8.0
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,27,WHIP,1.19,9.0
2026-07-21,35457,10,Rebuilding Year v16.1,,,,,,,89,SV2,73.0,12.0
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,1,GP,1002.0,
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,60,SVH,,
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,7,R,518.0,9.0
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,12,HR,154.0,10.0
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,13,RBI,498.0,9.0
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,16,SB,56.0,1.0
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,3,AVG,0.263,14.0
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,50,IP2,693.1,
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,28,W,43.0,7.0
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,42,K,744.0,13.0
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,26,ERA,3.36,12.0
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,27,WHIP,1.15,11.0
2026-07-21,35457,14,You Give Suck a Bad Name,,,,,,,89,SV2,65.0,8.5
2026-07-21,35457,12,VerRosenbergs,,,,,,,1,GP,991.0,
2026-07-21,35457,12,VerRosenbergs,,,,,,,60,SVH,,
2026-07-21,35457,12,VerRosenbergs,,,,,,,7,R,529.0,11.0
2026-07-21,35457,12,VerRosenbergs,,,,,,,12,HR,136.0,7.0
2026-07-21,35457,12,VerRosenbergs,,,,,,,13,RBI,518.0,13.0
2026-07-21,35457,12,VerRosenbergs,,,,,,,16,SB,89.0,9.0
