snapshot_date,league_id,team_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-06-26,35457,3,Ender Wiggins,,,,,,,1,GP,782.0,
2026-06-26,35457,3,Ender Wiggins,,,,,,,60,SVH,,
2026-06-26,35457,3,Ender Wiggins,,,,,,,7,R,441.0,12.0
2026-06-26,35457,3,Ender Wiggins,,,,,,,12,HR,121.0,11.0
2026-06-26,35457,3,Ender Wiggins,,,,,,,13,RBI,382.0,6.0
2026-06-26,35457,3,Ender Wiggins,,,,,,,16,SB,91.0,14.0
2026-06-26,35457,3,Ender Wiggins,,,,,,,3,AVG,0.256,12.0
2026-06-26,35457,3,Ender Wiggins,,,,,,,50,IP2,527.0,
2026-06-26,35457,3,Ender Wiggins,,,,,,,28,W,39.0,12.5
2026-06-26,35457,3,Ender Wiggins,,,,,,,42,K,482.0,3.0
2026-06-26,35457,3,Ender Wiggins,,,,,,,26,ERA,3.3,12.0
2026-06-26,35457,3,Ender Wiggins,,,,,,,27,WHIP,1.1,14.0
2026-06-26,35457,3,Ender Wiggins,,,,,,,89,SV2,53.0,9.0
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,1,GP,780.0,
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,60,SVH,,
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,7,R,471.0,14.0
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,12,HR,136.0,13.0
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,13,RBI,384.0,7.0
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,16,SB,68.0,6.0
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,3,AVG,0.246,3.0
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,50,IP2,607.2,
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,28,W,39.0,12.5
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,42,K,611.0,13.0
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,26,ERA,3.81,8.0
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,27,WHIP,1.22,8.0
2026-06-26,35457,10,Rebuilding Year v16.1,,,,,,,89,SV2,57.0,12.0
2026-06-26,35457,4,For Me to Poop On,,,,,,,1,GP,802.0,
2026-06-26,35457,4,For Me to Poop On,,,,,,,60,SVH,,
2026-06-26,35457,4,For Me to Poop On,,,,,,,7,R,401.0,5.0
2026-06-26,35457,4,For Me to Poop On,,,,,,,12,HR,107.0,7.0
2026-06-26,35457,4,For Me to Poop On,,,,,,,13,RBI,387.0,9.0
2026-06-26,35457,4,For Me to Poop On,,,,,,,16,SB,72.0,7.0
2026-06-26,35457,4,For Me to Poop On,,,,,,,3,AVG,0.246,2.0
2026-06-26,35457,4,For Me to Poop On,,,,,,,50,IP2,535.1,
2026-06-26,35457,4,For Me to Poop On,,,,,,,28,W,38.0,10.5
2026-06-26,35457,4,For Me to Poop On,,,,,,,42,K,579.0,12.0
2026-06-26,35457,4,For Me to Poop On,,,,,,,26,ERA,3.09,14.0
2026-06-26,35457,4,For Me to Poop On,,,,,,,27,WHIP,1.11,13.0
2026-06-26,35457,4,For Me to Poop On,,,,,,,89,SV2,61.0,13.5
2026-06-26,35457,5,Salad Dodgers,,,,,,,1,GP,803.0,
2026-06-26,35457,5,Salad Dodgers,,,,,,,60,SVH,,
2026-06-26,35457,5,Salad Dodgers,,,,,,,7,R,457.0,13.0
2026-06-26,35457,5,Salad Dodgers,,,,,,,12,HR,118.0,10.0
2026-06-26,35457,5,Salad Dodgers,,,,,,,13,RBI,415.0,13.0
2026-06-26,35457,5,Salad Dodgers,,,,,,,16,SB,76.0,10.5
2026-06-26,35457,5,Salad Dodgers,,,,,,,3,AVG,0.251,5.0
2026-06-26,35457,5,Salad Dodgers,,,,,,,50,IP2,577.1,
2026-06-26,35457,5,Salad Dodgers,,,,,,,28,W,41.0,14.0
2026-06-26,35457,5,Salad Dodgers,,,,,,,42,K,558.0,8.0
2026-06-26,35457,5,Salad Dodgers,,,,,,,26,ERA,4.04,4.0
2026-06-26,35457,5,Salad Dodgers,,,,,,,27,WHIP,1.28,6.0
2026-06-26,35457,5,Salad Dodgers,,,,,,,89,SV2,53.0,9.0
2026-06-26,35457,1,The Bear Jew,,,,,,,1,GP,800.0,
2026-06-26,35457,1,The Bear Jew,,,,,,,60,SVH,,
2026-06-26,35457,1,The Bear Jew,,,,,,,7,R,414.0,9.0
2026-06-26,35457,1,The Bear Jew,,,,,,,12,HR,110.0,8.0
2026-06-26,35457,1,The Bear Jew,,,,,,,13,RBI,391.0,10.0
2026-06-26,35457,1,The Bear Jew,,,,,,,16,SB,51.0,4.0
2026-06-26,35457,1,The Bear Jew,,,,,,,3,AVG,0.252,7.0
2026-06-26,35457,1,The Bear Jew,,,,,,,50,IP2,525.2,
2026-06-26,35457,1,The Bear Jew,,,,,,,28,W,38.0,10.5
2026-06-26,35457,1,The Bear Jew,,,,,,,42,K,570.0,9.0
2026-06-26,35457,1,The Bear Jew,,,,,,,26,ERA,3.25,13.0
2026-06-26,35457,1,The Bear Jew,,,,,,,27,WHIP,1.18,10.0
2026-06-26,35457,1,The Bear Jew,,,,,,,89,SV2,55.0,11.0
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,1,GP,783.0,
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,60,SVH,,
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,7,R,419.0,10.0
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,12,HR,149.0,14.0
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,13,RBI,414.0,12.0
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,16,SB,49.0,3.0
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,3,AVG,0.255,10.0
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,50,IP2,498.2,
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,28,W,36.0,8.0
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,42,K,574.0,11.0
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,26,ERA,3.92,7.0
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,27,WHIP,1.29,5.0
2026-06-26,35457,8,Nish's Rec League Team,,,,,,,89,SV2,53.0,9.0
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,1,GP,799.0,
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,60,SVH,,
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,7,R,404.0,7.0
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,12,HR,114.0,9.0
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,13,RBI,386.0,8.0
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,16,SB,41.0,1.0
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,3,AVG,0.261,14.0
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,50,IP2,574.0,
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,28,W,36.0,8.0
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,42,K,620.0,14.0
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,26,ERA,3.39,10.0
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,27,WHIP,1.14,11.0
2026-06-26,35457,14,You Give Suck a Bad Name,,,,,,,89,SV2,52.0,7.0
2026-06-26,35457,2,Avners iballers,,,,,,,1,GP,796.0,
2026-06-26,35457,2,Avners iballers,,,,,,,60,SVH,,
2026-06-26,35457,2,Avners iballers,,,,,,,7,R,421.0,11.0
2026-06-26,35457,2,Avners iballers,,,,,,,12,HR,126.0,12.0
2026-06-26,35457,2,Avners iballers,,,,,,,13,RBI,418.0,14.0
2026-06-26,35457,2,Avners iballers,,,,,,,16,SB,76.0,10.5
2026-06-26,35457,2,Avners iballers,,,,,,,3,AVG,0.259,13.0
2026-06-26,35457,2,Avners iballers,,,,,,,50,IP2,537.2,
2026-06-26,35457,2,Avners iballers,,,,,,,28,W,34.0,6.0
2026-06-26,35457,2,Avners iballers,,,,,,,42,K,540.0,7.0
2026-06-26,35457,2,Avners iballers,,,,,,,26,ERA,4.75,1.0
2026-06-26,35457,2,Avners iballers,,,,,,,27,WHIP,1.31,2.0
2026-06-26,35457,2,Avners iballers,,,,,,,89,SV2,34.0,4.0
2026-06-26,35457,12,VerRosenbergs,,,,,,,1,GP,794.0,
2026-06-26,35457,12,VerRosenbergs,,,,,,,60,SVH,,
2026-06-26,35457,12,VerRosenbergs,,,,,,,7,R,396.0,4.0
2026-06-26,35457,12,VerRosenbergs,,,,,,,12,HR,103.0,4.0
2026-06-26,35457,12,VerRosenbergs,,,,,,,13,RBI,411.0,11.0
2026-06-26,35457,12,VerRosenbergs,,,,,,,16,SB,75.0,9.0
2026-06-26,35457,12,VerRosenbergs,,,,,,,3,AVG,0.251,6.0
2026-06-26,35457,12,VerRosenbergs,,,,,,,50,IP2,516.2,
2026-06-26,35457,12,VerRosenbergs,,,,,,,28,W,30.0,3.0
2026-06-26,35457,12,VerRosenbergs,,,,,,,42,K,534.0,6.0
2026-06-26,35457,12,VerRosenbergs,,,,,,,26,ERA,3.38,11.0
2026-06-26,35457,12,VerRosenbergs,,,,,,,27,WHIP,1.13,12.0
2026-06-26,35457,12,VerRosenbergs,,,,,,,89,SV2,61.0,13.5
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,1,GP,786.0,
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,60,SVH,,
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,7,R,413.0,8.0
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,12,HR,99.0,3.0
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,13,RBI,340.0,1.0
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,16,SB,86.0,13.0
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,3,AVG,0.254,9.0
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,50,IP2,314.1,
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,28,W,21.0,1.0
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,42,K,316.0,1.0
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,26,ERA,3.44,9.0
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,27,WHIP,1.23,7.0
2026-06-26,35457,7,Miracle Max's MLTs,,,,,,,89,SV2,21.0,1.0
2026-06-26,35457,11,Rolo Tomasi,,,,,,,1,GP,794.0,
2026-06-26,35457,11,Rolo Tomasi,,,,,,,60,SVH,,
2026-06-26,35457,11,Rolo Tomasi,,,,,,,7,R,402.0,6.0
2026-06-26,35457,11,Rolo Tomasi,,,,,,,12,HR,104.0,5.5
2026-06-26,35457,11,Rolo Tomasi,,,,,,,13,RBI,378.0,5.0
2026-06-26,35457,11,Rolo Tomasi,,,,,,,16,SB,54.0,5.0
2026-06-26,35457,11,Rolo Tomasi,,,,,,,3,AVG,0.248,4.0
2026-06-26,35457,11,Rolo Tomasi,,,,,,,50,IP2,549.0,
2026-06-26,35457,11,Rolo Tomasi,,,,,,,28,W,36.0,8.0
2026-06-26,35457,11,Rolo Tomasi,,,,,,,42,K,572.0,10.0
2026-06-26,35457,11,Rolo Tomasi,,,,,,,26,ERA,4.39,2.0
2026-06-26,35457,11,Rolo Tomasi,,,,,,,27,WHIP,1.33,1.0
2026-06-26,35457,11,Rolo Tomasi,,,,,,,89,SV2,42.0,5.0
2026-06-26,35457,6,Crazy Chloe,,,,,,,1,GP,776.0,
2026-06-26,35457,6,Crazy Chloe,,,,,,,60,SVH,,
2026-06-26,35457,6,Crazy Chloe,,,,,,,7,R,387.0,3.0
2026-06-26,35457,6,Crazy Chloe,,,,,,,12,HR,104.0,5.5
2026-06-26,35457,6,Crazy Chloe,,,,,,,13,RBI,366.0,4.0
2026-06-26,35457,6,Crazy Chloe,,,,,,,16,SB,73.0,8.0
2026-06-26,35457,6,Crazy Chloe,,,,,,,3,AVG,0.241,1.0
2026-06-26,35457,6,Crazy Chloe,,,,,,,50,IP2,528.1,
2026-06-26,35457,6,Crazy Chloe,,,,,,,28,W,29.0,2.0
2026-06-26,35457,6,Crazy Chloe,,,,,,,42,K,493.0,4.0
2026-06-26,35457,6,Crazy Chloe,,,,,,,26,ERA,3.99,5.0
2026-06-26,35457,6,Crazy Chloe,,,,,,,27,WHIP,1.18,9.0
2026-06-26,35457,6,Crazy Chloe,,,,,,,89,SV2,50.0,6.0
2026-06-26,35457,9,Pez,,,,,,,1,GP,713.0,
2026-06-26,35457,9,Pez,,,,,,,60,SVH,,
2026-06-26,35457,9,Pez,,,,,,,7,R,369.0,1.0
2026-06-26,35457,9,Pez,,,,,,,12,HR,85.0,1.0
2026-06-26,35457,9,Pez,,,,,,,13,RBI,357.0,3.0
2026-06-26,35457,9,Pez,,,,,,,16,SB,85.0,12.0
2026-06-26,35457,9,Pez,,,,,,,3,AVG,0.255,11.0
2026-06-26,35457,9,Pez,,,,,,,50,IP2,417.2,
2026-06-26,35457,9,Pez,,,,,,,28,W,31.0,4.5
2026-06-26,35457,9,Pez,,,,,,,42,K,427.0,2.0
2026-06-26,35457,9,Pez,,,,,,,26,ERA,3.94,6.0
2026-06-26,35457,9,Pez,,,,,,,27,WHIP,1.3,3.0
2026-06-26,35457,9,Pez,,,,,,,89,SV2,23.0,2.0
2026-06-26,35457,13,Yokozuna’s Bogus Journey,,,,,,,1,GP,755.0,
2026-06-26,35457,13,Yokozuna’s Bogus Journey,,,,,,,60,SVH,,
2026-06-26,35457,13,Yokozuna’s Bogus Journey,,,,,,,7,R,378.0,2.0
2026-06-26,35457,13,Yokozuna’s Bogus Journey,,,,,,,12,HR,98.0,2.0
